id,parent_id/id,tax_ids/id,code,name,type,user_type/id,reconcile,note
pcg_7072,fr_pcg_sale,tva_normale,7072,Marchandises (ou groupe) B,Regular,account.data_account_type_income,False,
pcg_7073,fr_pcg_sale,,7073,Marchandises à l'exportation,Regular,account.data_account_type_income,False,
pcg_708,pcg_70,,708,Produits des activités annexes,View,account.data_account_type_view,False,Activité accessoire ou occasionnelle
pcg_7081,pcg_708,,7081,Produits des services exploités dans l'intérêt du personnel,Regular,account.data_account_type_income,False,
pcg_7082,pcg_708,,7082,Commissions et courtages,Regular,account.data_account_type_income,False,
pcg_7083,pcg_708,,7083,Locations diverses,Regular,account.data_account_type_income,False,
pcg_7084,pcg_708,,7084,Mise à disposition de personnel facturée ,Regular,account.data_account_type_income,False,
pcg_7085,pcg_708,,7085,Ports et frais accessoires facturés,Regular,account.data_account_type_income,False,
pcg_7086,pcg_708,,7086,Bonis sur reprises d'emballages consignés,Regular,account.data_account_type_income,False,
pcg_7087,pcg_708,,7087,Bonifications obtenues des clients et primes sur ventes,Regular,account.data_account_type_income,False,
pcg_7088,pcg_708,,7088,Autres produits d'activités annexes (cessions d'approvisionnements...),Regular,account.data_account_type_income,False,
pcg_709,pcg_70,,709,"Rabais, remises et ristournes accordés par l'entreprise",View,account.data_account_type_view,False,
pcg_7091,pcg_709,,7091,- sur ventes de produits finis,Regular,account.data_account_type_income,False,
pcg_7092,pcg_709,,7092,- sur ventes de produits intermédiaires ,Regular,account.data_account_type_income,False,
pcg_7094,pcg_709,,7094,- sur travaux,Regular,account.data_account_type_income,False,
pcg_7095,pcg_709,,7095,- sur études,Regular,account.data_account_type_income,False,
pcg_7096,pcg_709,,7096,- sur prestations de services,Regular,account.data_account_type_income,False,
pcg_7097,pcg_709,,7097,- sur ventes de marchandises,Regular,account.data_account_type_income,False,
pcg_7098,pcg_709,,7098,- sur produits des activités annexes,Regular,account.data_account_type_income,False,
pcg_71,pcg_Classe_7,,71,Production stockée (ou déstockage),View,account.data_account_type_view,False,
pcg_713,pcg_71,,713,"Variation des stocks (en-cours de production, produits)",View,account.data_account_type_view,False,
